ID,CCT,NOMBRE,TURNO,NIVEL,MATRICULA (TOTAL DE ALUMNOS) CICLO 2016-2017,MUNICIPIO,LOCALIDAD,CALLE Y NUMERO,COLONIA,REGION
115,31KJN0007C,PREESCOLAR COMUNITARIO,DISCONTINUO,PREESCOLAR,11,CANSAHCAB,SAN ANTONIO XIAT,,MOTUL,
116,31KJN0008B,PREESCOLAR COMUNITARIO,DISCONTINUO,PREESCOLAR,2,CANSAHCAB,SANTA MARIA,,MOTUL,
117,31DPR0634A,HEROE DE NACOZARI,VESPERTINO,PRIMARIA,112,CANSAHCAB,CANSAHCAB,CALLE 28,MOTUL,
118,31DPR0922T,FELIPE CARRILLO PUERTO,MATUTINO,PRIMARIA,60,CANSAHCAB,CANSAHCAB,CALLE 27 94,MOTUL,
119,31DPR1723A,ANA MARIA DE LOS ANGELES PIÑA AZCORRA,MATUTINO,PRIMARIA,104,CANSAHCAB,CANSAHCAB,CALLE 15,MOTUL,
120,31EPR0007I,DAVID VIVAS ROMERO,MATUTINO,PRIMARIA,107,CANSAHCAB,CANSAHCAB,CALLE 19 89,MOTUL,
121,31DPR0018P,JUAN DE DIOS GOMEZ Y GOMEZ,MATUTINO,PRIMARIA,26,CANSAHCAB,SAN ANTONIO XIAT,,MOTUL,
122,31DPR1686N,DAMIAN CARMONA,MATUTINO,PRIMARIA,12,CANSAHCAB,SANTA MARIA,,MOTUL,
123,31DST0015D,ESCUELA SECUNDARIA TECNICA NUM. 15,MATUTINO,SECUNDARIA,64,CANSAHCAB,CANSAHCAB,CARRETERA CANSAHCAB-TEMAX KILOMETRO 1,MOTUL,
124,31EES0006C,VICTOR MANUEL MARTINEZ HERRERA,VESPERTINO,SECUNDARIA,188,CANSAHCAB,CANSAHCAB,CALLE 20 86,MOTUL,
125,31DCC0274Z,LOL BEH,MATUTINO,PREESCOLAR,109,CANTAMAYEC,CANTAMAYEC,CALLE 19,TICUL,
126,31DCC0147D,NARCISO MENDOZA,MATUTINO,PREESCOLAR,23,CANTAMAYEC,CHOLUL,,TICUL,
127,31KCC0017U,PREESCOLAR INDIGENA PAEPI,DISCONTINUO,PREESCOLAR,22,CANTAMAYEC,NENELA,,TICUL,
128,31DPR0937V,FRANCISCO J. MUJICA,MATUTINO,PRIMARIA,211,CANTAMAYEC,CANTAMAYEC,CALLE 26,TICUL,
129,31DPR0935X,ARCADIO TUZ CHAN,MATUTINO,PRIMARIA,66,CANTAMAYEC,CHOLUL,CALLE 9,TICUL,
130,31DPB0066Y,JOSE CLEMENTE OROZCO,MATUTINO,PRIMARIA,40,CANTAMAYEC,NENELA,,TICUL,
131,31EES0114K,MOISES SAENZ,MATUTINO,SECUNDARIA,169,CANTAMAYEC,CANTAMAYEC,CALLE 21 102 NA,TICUL,
132,31DJN0151F,EMILIANO ZAPATA,MATUTINO,PREESCOLAR,128,CELESTUN,CELESTUN,CALLE 11 87,HUNUCMA,
133,31DJN2043L,JUGUEMOS A APRENDER,MATUTINO,PREESCOLAR,207,CELESTUN,CELESTUN,CALLE 9 102,HUNUCMA,
134,31DPR0138B,BERTA MARIA GONZALEZ RODRIGUEZ,MATUTINO,PRIMARIA,310,CELESTUN,CELESTUN,CALLE 21 NA,HUNUCMA,
135,31EPR0008H,JOSE ALAYOLA PREVE,MATUTINO,PRIMARIA,319,CELESTUN,CELESTUN,CALLE 7 93 NA,HUNUCMA,
136,31EPR0211T,JOSE ALAYOLA PREVE,VESPERTINO,PRIMARIA,324,CELESTUN,CELESTUN,CALLE 5 93,HUNUCMA,
137,31EES0081J,JOSEFA ORTIZ DE DOMINGUEZ,MATUTINO,SECUNDARIA,386,CELESTUN,CELESTUN,CALLE 11 AVENIDA PRINCIPAL,HUNUCMA,
138,31DJN0040A,EDUARDO URZAIZ RODRIGUEZ,MATUTINO,PREESCOLAR,72,CENOTILLO,CENOTILLO,CALLE 18 175,IZAMAL,
139,31DJN0174Q,FRANCISCO GONZALEZ BOCANEGRA,MATUTINO,PREESCOLAR,56,CENOTILLO,CENOTILLO,CALLE 16,IZAMAL,
140,31KJN0009A,PREESCOLAR COMUNITARIO,DISCONTINUO,PREESCOLAR,19,CENOTILLO,TIXBACAB,,IZAMAL,
141,31DPR0152V,MIGUEL HIDALGO Y COSTILLA,VESPERTINO,PRIMARIA,39,CENOTILLO,CENOTILLO,CALLE 14 147,IZAMAL,
142,31DPR0936W,GRACIANO RICALDE GAMBOA,MATUTINO,PRIMARIA,180,CENOTILLO,CENOTILLO,CALLE 14 147,IZAMAL,
143,31EPR0009G,SALVADOR ALVARADO,MATUTINO,PRIMARIA,161,CENOTILLO,CENOTILLO,CALLE 16 151,IZAMAL,
144,31DPR0215Q,FELIPE CARRILLO PUERTO,MATUTINO,PRIMARIA,42,CENOTILLO,TIXBACAB,,IZAMAL,
145,31DST0016C,ADEMAR EFRAIN BRITO PARRA,MATUTINO,SECUNDARIA,133,CENOTILLO,CENOTILLO,CARRETERA CENOTILLO-TUNKAS KILOMETRO 2,IZAMAL,
146,31ETV0065Y,GABINO BARREDA,MATUTINO,SECUNDARIA,23,CENOTILLO,TIXBACAB,,IZAMAL,
147,31EDI1008B,REALIDADES PARA NIÑOS,DISCONTINUO,INICIAL,41,CONKAL,CONKAL,CALLE 27 100 A,MERIDA,PROGRESO
