LAZARO+CARDENAS+DEL+RIO,,NAHBALAM,TEMOZON
ESTADO+DE+CAMPECHE,,SANTA+RITA,TEMOZON
VICENTE+GUERRERO,,X'TUT,TEMOZON
JACINTO+PAT,,X-UCH,TEMOZON
ADOLFO+LOPEZ+MATEOS,,EKBALAM,TEMOZON
5+DE+FEBRERO,,YOKDZONOT+PRESENTADO,TEMOZON
ESCUELA+COMUNITARIA+CONAFE,,SAN+PEDRO+TZEC,TEMOZON
MOISES+SAENZ+GARZA,,ACTUNCOH,TEMOZON
ALFONSO+REYES,,DZALBAY,TEMOZON
JOSE+VASCONCELOS,,NAHBALAM,TEMOZON
FRIDA+KAHLO,,SANTA+RITA,TEMOZON
SECUNDARIA+COMUNITARIA,,X'TUT,TEMOZON
PABLO+MORENO+Y+TRIAY,,X-UCH,TEMOZON
JOSE+DE+LA+LUZ+MENA+Y+ALCOCER,,YOKDZONOT+PRESENTADO,TEMOZON
PREESCOLAR+COMUNITARIO,,KANTIRIX,TEPAKAN
CUAUHTEMOC,,KANTIRIX,TEPAKAN
20+DE+NOVIEMBRE,,NOHUAYUN,TETIZ
SERAPIO+RENDON,,NOHUAYUN,TETIZ
U+WAYAK'MEJEN+PALAL,,TICUL,TICUL
ROMULO+ROZO,,UNIDADES+DE+RIEGO,TICUL
ANTONIO+LOPEZ+DE+SANTA+ANA,,SUBINCANCAB,TIMUCUY
FEDERICO+FROEBEL,,TEKIK+DE+REGIL,TIMUCUY
PABLO+CANUL,,SUBINCANCAB,TIMUCUY
MANUEL+CEPEDA+PERAZA,,SUBINCANCAB,TIMUCUY
PREESCOLAR+INDIGENA+PAEPI,,LOOP+XUL,TINUM
PREESCOLAR+INDIGENA+PAEPI,,SAN+FELIPE,TINUM
JACINTO+CANEK,,SAN+FRANCISCO+GRANDE,TINUM
BANDERA+DE+MEXICO,,TOHOPKU,TINUM
JAIME+NUNO,,X-CALAKOOP,TINUM
PRIMARIA+INDIGENA+PAEPI,,LOOP+XUL,TINUM
PRIMARIA+INDIGENA+PAEPI,,SAN+FELIPE,TINUM
ANDRES+QUINTANA+ROO,,SAN+FRANCISCO+GRANDE,TINUM
VICENTE+GUERRERO,,TOHOPKU,TINUM
VENUSTIANO+CARRANZA,,X-CALAKOOP,TINUM
FERNANDO+MONTES+DE+OCA,,SAN+FRANCISCO+GRANDE,TINUM
JOSE+EMILIO+PACHECO,,TOHOPKU,TINUM
ENRIQUE+PESTALOZZI,,X-CALAKOOP,TINUM
CECILIO+CHI,,TIXCACALCUPUL,TIXCACALCUPUL
ATILANO+ALBERTOS,,EKPEDZ,TIXCACALCUPUL
5+DE+MAYO,,MAHAS,TIXCACALCUPUL
20+DE+NOVIEMBRE,,POOP,TIXCACALCUPUL
REVOLUCION,,X-TOHBIL,TIXCACALCUPUL
MIGUEL+HIDALGO+Y+COSTILLA,,SAN+JOSE,TIXCACALCUPUL
PRIMARIA+INDIGENA+PAEPI,,CAROLINA,TIXCACALCUPUL
