ID	CCT	NOMBRE	CALLE Y NUMERO	LOCALIDAD	MUNICIPIO
233	31DCC2004U	YAAX KA'ANSAJO'OB		SAN PEDRO CHEMAX	CHEMAX
234	31KCC0133K	PREESCOLAR INDIGENA PAEPI		SAN ROMAN	CHEMAX
235	31KCC0234I	PREESCOLAR INDIGENA PAEPI		SANTA CLARA	CHEMAX
236	31KCC0067B	PREESCOLAR INDIGENA PAEPI		SANTA CRUZ	CHEMAX
237	31DCC0169P	CRISTOBAL COLON		SISBICHEN	CHEMAX
238	31KCC0069Z	PREESCOLAR INDIGENA PAEPI		KANTO	CHEMAX
239	31DCC0302F	LEONA VICARIO		USPIBIL	CHEMAX
240	31DCC0218H	SALVADOR ALVARADO		XALAU (X-ALAU)	CHEMAX
241	31DCC0113N	EMILIANO ZAPATA		X-CAN	CHEMAX
242	31DCC0301G	SASIL BEJ		X-CAN	CHEMAX
243	31DCC0303E	MARGARITA MAZA DE JUAREZ		CHECHMIL	CHEMAX
244	31KCC0068A	PREESCOLAR INDIGENA PAEPI		PABALAM	CHEMAX
245	31KCC0055X	PREESCOLAR INDIGENA PAEPI		LOL-BE	CHEMAX
246	31KCC0037H	PREESCOLAR INDIGENA PAEPI		BUENAVISTA	CHEMAX
247	31KCC0250Z	ESCUELA CONAFE		KONSAHCAB	CHEMAX
248	31KCC0098V	PREESCOLAR INDIGENA PAEPI		SAN JOSE CHAHUAY	CHEMAX
249	31KCC0231L	PREESCOLAR INDIGENA PAEPI		XIM-HA	CHEMAX
250	31KCC0054Y	PREESCOLAR INDIGENA PAEPI		HIDALGO Y CORTEZ	CHEMAX
251	31KCC0215U	PREESCOLAR INDIGENA PAEPI		PUNTA LAGUNA	CHEMAX
252	31KCC0119R	PREESCOLAR INDIGENA PAEPI		HOTEOCH	CHEMAX
253	31KCC0070P	PREESCOLAR INDIGENA PAEPI		TULIN	CHEMAX
254	31KCC0040V	PREESCOLAR INDIGENA PAEPI		FELIPE CARRILLO PUERTO	CHEMAX
255	31KCC0039F	PREESCOLAR INDIGENA PAEPI		ESTRELLA	CHEMAX
256	31KCC0207L	PREESCOLAR INDIGENA PAEPI		GUADALUPE	CHEMAX
257	31DPB0078C	ERMILO ABREU GOMEZ	CALLE 32-A 143	CHEMAX	CHEMAX
258	31DPB2027J	KO'ONE'EX KAANBAL	CALLE 32-A 143	CHEMAX	CHEMAX
259	31DPR0006K	FRANCISCO I. MADERO	CALLE 14	CHEMAX	CHEMAX
260	31DPR0243M	RAFAEL RAMIREZ CASTAÑEDA	CALLE 18 97 A	CHEMAX	CHEMAX
261	31DPR0308F	RAFAEL RAMIREZ CASTAÑEDA	CALLE 18 97 A	CHEMAX	CHEMAX
262	31DPR2041D	FELIPE CARRILLO PUERTO	CALLE 14	CHEMAX	CHEMAX
263	31DPR2048X	JUSTO SIERRA MENDEZ	NA	CHEMAX	CHEMAX
264	31DPR2049W	JUAN ESCUTIA	CALLE 26	CHEMAX	CHEMAX
265	31DPR2075U	MANUEL ANTONIO AY	CALLE 17 69	CHEMAX	CHEMAX
266	31DPR0772C	NACHI COCOM		X-CATZIN (CATZIN)	CHEMAX
267	31DPR0253T	EMILIANO ZAPATA	NA	COCOYOL	CHEMAX
268	31DPB0223Y	RAFAEL RAMIREZ CASTAÑEDA		CHOLUL	CHEMAX
269	31DPB0043N	IGNACIO ALLENDE		CHULUTAN	CHEMAX
270	31DPB0230H	ESTADO DE VERACRUZ		KUXEB	CHEMAX
271	31DPR0818H	ANDRES QUINTANA ROO		MUCEL	CHEMAX
272	31DPR0103M	IGNACIO MANUEL ALTAMIRANO		SAN JUAN CHEN	CHEMAX
273	31DPB0038B	ADOLFO LOPEZ MATEOS		SAN PEDRO CHEMAX	CHEMAX
274	31DPR0394S	CECILIO CHI		SAN ROMAN	CHEMAX
275	31KPB0193D	PRIMARIA INDIGENA PAEPI		SANTA CLARA	CHEMAX
276	31DPR0104L	DELIO MORENO CANTON		SANTA CRUZ	CHEMAX
277	31DPB0218M	CRISTOBAL COLON	DOMICILIO CONOCIDO	SISBICHEN	CHEMAX
278	31DPB0014S	GUADALUPE VICTORIA		KANTO	CHEMAX
279	31DPB0039A	MARTIRES DE CHICAGO		USPIBIL	CHEMAX
280	31DPR0771D	IGNACIO ZARAGOZA		XALAU (X-ALAU)	CHEMAX
281	31DPR2071Y	LEONA VICARIO		XALAU (X-ALAU)	CHEMAX
282	31DPR0618J	BENITO JUAREZ GARCIA	CALLE 2 SN	X-CAN	CHEMAX
283	31DPR0776Z	EMILIANO ZAPATA	CALLE 21	X-CAN	CHEMAX
284	31DPR2037R	JOSE VASCONCELOS	CALLE 22	X-CAN	CHEMAX
285	31DPB0116P	SALVADOR DIAZ MIRON		CHECHMIL	CHEMAX
286	31DPR0307G	PABLO MORENO		PABALAM	CHEMAX
287	31DPB0283M	BENITO JUAREZ GARCIA		LOL-BE	CHEMAX
288	31KPB0054C	PRIMARIA INDIGENA PAEPI		BUENAVISTA	CHEMAX
289	31KPB0208P	PRIMARIA INDIGENA PAEPI		LA ESPERANZA	CHEMAX
290	31KPB0217X	ESCUELA CONAFE		KONSAHCAB	CHEMAX
291	31DPB0115Q	MIGUEL ALEMAN VALDEZ		SAN JOSE CHAHUAY	CHEMAX
292	31KPB0151E	PRIMARIA INDIGENA PAEPI		XIM-HA	CHEMAX
293	31DPB2008V	U SASIL KAAN		HIDALGO Y CORTEZ	CHEMAX
294	31KPB0194C	PRIMARIA INDIGENA PAEPI		PUNTA LAGUNA	CHEMAX
295	31DPB2016D	MANUEL AVILA CAMACHO		HOTEOCH	CHEMAX
296	31DPB0021B	JUSTO SIERRA MENDEZ	NA	TULIN	CHEMAX
297	31DPB0013T	FELIPE CARRILLO PUERTO		FELIPE CARRILLO PUERTO	CHEMAX
298	31KPB0057Z	PRIMARIA INDIGENA PAEPI		ESTRELLA	CHEMAX
299	31KPB0148R	PRIMARIA INDIGENA PAEPI		GUADALUPE	CHEMAX
